0000003225,scans,0000000130,DataLength
"header",0000000040,"lines"
"Date",3/29/2016,"Time",4:03:14 PM
"ID","HAL IDP LOW ENERGY #14936","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
00:02:55,    175521,        570,        340,       1340,     157320,      33970,       4650,       3160,       1700,      11020,
00:02:56,    176584,        500,        360,       1340,     158180,      31670,       4670,       2960,       1560,      10650,
00:02:57,    177648,        620,        480,       1230,     160720,      33890,       4850,       2620,       2000,      10480,
00:02:58,    178711,        540,        480,       1150,     159540,      32860,       4420,       3150,       1970,      10660,
00:02:59,    179774,        680,        410,       1400,     160000,      32440,       4600,       2760,       2010,      10990,
00:03:00,    180838,        740,        290,       1230,     158740,      32650,       4710,       2940,       1830,      11020,
00:03:01,    181901,        800,        290,       1560,     157000,      32520,       4870,       2840,       1700,      10860,
00:03:02,    182964,        570,        330,       1220,     161180,      32960,       4750,       2990,       1790,      11360,
00:03:04,    184028,        540,        370,       1190,     158450,      33040,       4520,       2640,       1930,      11010,
00:03:05,    185091,        540,        580,       1460,     158020,      32610,       4420,       2860,       1790,      11140,
00:03:06,    186154,        560,        410,       1560,     155720,      34070,       4770,       2910,       1660,      10800,
00:03:07,    187218,        660,        260,       1450,     153460,      32530,       5180,       3200,       2050,      10700,
00:03:08,    188281,        470,        500,       1300,     154560,      30990,       4650,       2720,       1830,      10620,
00:03:09,    189344,        500,        400,       1450,     154720,      31870,       4650,       2650,       1730,      10370,
00:03:10,    190408,        590,        410,       1540,     155390,      32340,       4440,       2940,       1820,       9960,
00:03:11,    191471,        560,        350,       1240,     155690,      32260,       4470,       2840,       1380,      10240,
00:03:12,    192534,        640,        360,       1120,     154890,      32470,       4350,       2910,       1550,      10610,
00:03:13,    193598,        510,        330,       1620,     156230,      32210,       4550,       2850,       2200,      11120,
00:03:14,    194661,        710,        420,       1280,     153250,      33370,       3820,       2690,       1770,      11300,
00:03:15,    195724,        630,        470,       1500,     154110,      31910,       4890,       2710,       1520,      10550,
00:03:16,    196788,        700,        570,       1150,     153930,      31140,       4250,       2540,       2060,      10790,
00:03:17,    197851,        710,        380,       1560,     154940,      33320,       5150,       2760,       1650,      10900,
00:03:18,    198914,        520,        390,       1340,     154560,      32870,       4360,       3060,       1790,      11210,
00:03:19,    199978,        640,        380,       1220,     151520,      31750,       4520,       2680,       1570,      10710,
00:03:21,    201041,        600,        320,       1340,     152680,      32320,       4420,       2870,       2050,      10340,
00:03:22,    202104,        650,        450,       1220,     149650,      31920,       4760,       2950,       1330,      11190,
00:03:23,    203168,        600,        440,       1130,     150810,      31680,       4730,       2790,       2140,      10290,
00:03:24,    204231,        540,        340,       1500,     151450,      32340,       4620,       3030,       1720,      11290,
00:03:25,    205294,        670,        330,       1600,     153470,      32010,       4570,       2760,       1680,      11160,
00:03:26,    206358,        780,        340,       1260,     152300,      32980,       4760,       2520,       1990,      10600,
00:03:27,    207421,        440,        330,       1720,     149710,      32910,       4570,       2660,       1770,      10530,
